variant,risk_label,n,mean_risk_score,mean_leaf_support,correct_rate,partial_rate,incorrect_rate,error_rate_partial_or_incorrect,error_rate_incorrect_only
signal_only,high_support_not_auto_accept,194,0.05314373711340205,0.9468562628865981,0.4381443298969072,0.3917525773195876,0.17010309278350516,0.5618556701030928,0.17010309278350516
signal_only,intermediate_support,71,0.3596415633802817,0.6403584366197184,0.5633802816901409,0.18309859154929578,0.2535211267605634,0.43661971830985913,0.2535211267605634
signal_only,review_priority,259,0.6434483861003861,0.35655161389961393,0.2972972972972973,0.3783783783783784,0.32432432432432434,0.7027027027027027,0.32432432432432434
operational,high_support_not_auto_accept,151,0.053649317880794675,0.9463506821192055,0.4900662251655629,0.3708609271523179,0.1390728476821192,0.5099337748344371,0.1390728476821192
operational,intermediate_support,72,0.3603794444444444,0.6396205555555555,0.5555555555555556,0.19444444444444445,0.25,0.4444444444444444,0.25
operational,review_priority,301,0.6322301328903654,0.3677698671096346,0.292358803986711,0.38870431893687707,0.31893687707641194,0.707641196013289,0.31893687707641194
