variant,outcome,n_labeled,n_errors,n_review_priority,true_errors_in_review_priority,review_priority_precision,review_priority_recall,auroc,auprc
signal_only,partial_or_incorrect,524,322,259,182,0.7027027027027027,0.5652173913043478,0.6037912797490929,0.6974323127582173
signal_only,incorrect_only,524,135,259,84,0.32432432432432434,0.6222222222222222,0.611330096163001,0.3266073975339143
operational,partial_or_incorrect,524,322,301,213,0.707641196013289,0.6614906832298136,0.6329330914457906,0.709712785894399
operational,incorrect_only,524,135,301,96,0.31893687707641194,0.7111111111111111,0.6165476530515092,0.3281295228676282
