variant,policy,not_reviewed_routing_labels,not_reviewed_n,reviewed_n,coverage_not_reviewed_among_labeled,partial_or_incorrect_rate_among_not_reviewed,incorrect_only_rate_among_not_reviewed,correct_rate_among_not_reviewed
signal_only,not_review_high_support_reference_only,high_support_not_auto_accept,194,330,0.3702290076335878,0.5618556701030928,0.17010309278350516,0.4381443298969072
signal_only,not_review_high_and_intermediate_support,high_support_not_auto_accept|intermediate_support,265,259,0.5057251908396947,0.5283018867924528,0.19245283018867926,0.4716981132075472
signal_only,all_labeled_leaves_reference,high_support_not_auto_accept|intermediate_support|review_priority,524,0,1.0,0.6145038167938931,0.25763358778625955,0.38549618320610685
operational,not_review_high_support_reference_only,high_support_not_auto_accept,151,373,0.2881679389312977,0.5099337748344371,0.1390728476821192,0.4900662251655629
operational,not_review_high_and_intermediate_support,high_support_not_auto_accept|intermediate_support,223,301,0.4255725190839695,0.48878923766816146,0.17488789237668162,0.5112107623318386
operational,all_labeled_leaves_reference,high_support_not_auto_accept|intermediate_support|review_priority,524,0,1.0,0.6145038167938931,0.25763358778625955,0.38549618320610685
