policy,not_reviewed_routing_labels,not_reviewed_n,reviewed_n,coverage_not_reviewed_among_labeled,error_rate_among_not_reviewed,correct_rate_among_not_reviewed,partial_rate_among_not_reviewed,incorrect_rate_among_not_reviewed
not_review_high_support_reference_only,high_support_not_auto_accept,151,373,0.2881679389312977,0.5099337748344371,0.4900662251655629,0.3708609271523179,0.1390728476821192
not_review_high_and_intermediate_support,high_support_not_auto_accept|intermediate_support,223,301,0.4255725190839695,0.48878923766816146,0.5112107623318386,0.31390134529147984,0.17488789237668162
all_labeled_leaves_reference,high_support_not_auto_accept|intermediate_support|review_priority,524,0,1.0,0.6145038167938931,0.38549618320610685,0.3568702290076336,0.25763358778625955
