risk_label,n,mean_risk_score,mean_leaf_support,correct_rate,partial_rate,incorrect_rate,error_rate_partial_or_incorrect
high_support_not_auto_accept,151,0.05364931788079469,0.9463506821192055,0.4900662251655629,0.3708609271523179,0.1390728476821192,0.5099337748344371
intermediate_support,72,0.3603794444444444,0.6396205555555555,0.5555555555555556,0.19444444444444445,0.25,0.4444444444444444
review_priority,301,0.6322301328903654,0.3677698671096346,0.292358803986711,0.38870431893687707,0.31893687707641194,0.707641196013289
